naics,naics_title,total,know,passes_usd,agreed3_usd,blocked,share_total,share_know,payroll_scored_by_three
444200,Lawn and Garden Equipment and Supplies Retailers,7886235500.0,5396254200.0,448249140.52780974,230445530.94845134,840109067.9458333,0.05683943125053896,0.08306672071301047,5396254200.0
622300,Specialty (except Psychiatric and Substance Abuse) Hospitals,26289550100.0,23082892700.0,447985406.2830044,153818425.33146986,1248344640.2253566,0.0170404363931281,0.019407680488979808,23082892700.0
722300,Special Food Services,32670593500.0,7137894400.0,446374555.7939917,223814142.0991439,756134070.2615967,0.01366288481395331,0.06253588674469486,7137894400.0
332700,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",20427685800.0,7115410000.0,443811503.8617983,188063164.5531364,704690626.7963252,0.021725980525008775,0.062373286129934646,7115410000.0
713200,Gambling Industries,10994861400.0,4481607900.0,439352137.1355722,171183840.95118007,559281808.5935746,0.03995977040106865,0.09803448827720342,4481607900.0
623200,"Residential Intellectual and Developmental Disability, Mental Health, and Substance Abuse Facilities",30771406700.0,13705048800.0,425492580.9891679,167958623.57255816,1298541526.766995,0.013827531030265442,0.031046411231251358,13705048800.0
312100,Beverage Manufacturing,17935555200.0,6809624600.0,421813508.1952181,144243886.50939864,737824278.032771,0.023518285522335997,0.06194372420988054,6809624600.0
237300,"Highway, Street, and Bridge Construction",28397482700.0,7757728700.0,421800535.55188507,125357568.37328899,613571600.4246396,0.014853448103408303,0.05437165333609631,7757728700.0
458200,Shoe Retailers,6430073500.0,6236177900.0,420825751.8466683,219252061.98883468,963621351.9687291,0.0654464916842192,0.0674813577474543,6236177900.000001
322200,Converted Paper Product Manufacturing,16565998400.0,5800416300.0,420792432.12370753,185557603.26689357,673442857.6338328,0.025400970226081124,0.07254521233651928,5800416300.0
624200,"Community Food and Housing, and Emergency and Other Relief Services",12360488900.0,9104638000.0,417671786.7924687,149970723.67664117,1079605693.1739604,0.033790879161136475,0.045874617617138506,9104638000.0
336100,Motor Vehicle Manufacturing,21933378200.0,7650524500.0,414046723.11320883,135899825.43474522,762484937.032687,0.01887747155671664,0.0541200440719076,7650524500.0
812900,Other Personal Services,17172723200.0,5742635100.0,406234282.35427916,188051746.25161076,846999353.8230889,0.023655787007286017,0.070740047953644,5742635100.0
